planta,fecha,turno,linea,sku,lote_resina,kg_consumida,kg_scrap,unidades_producidas,unidades_rechazadas,cambios_molde,cambios_color,paro_no_programado_min,arranque_post_mantenimiento,nota_supervisor
Envases del Pacífico S.A.S.,2026-03-08,noche,L2,TAP-38,R-P0011,582.5,29.64,176730,6159,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-08,noche,L3,ENV-500,R-P0011,730.79,37.55,28500,1003,0,1,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-09,mañana,L2,TAP-38,R-P0011,414.41,17.71,126579,3674,0,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-03-09,mañana,L3,ENV-500,R-P0011,757.2,38.11,29315,1010,0,0,12,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-03-09,tarde,L1,ENV-500,R-P0011,636.25,31.86,24201,829,0,1,0,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-03-09,tarde,L2,TAP-38,R-P0011,512.06,31.22,153693,6485,0,1,15,1,sin novedad
Envases del Pacífico S.A.S.,2026-03-09,tarde,L3,ENV-500,R-P0011,650.78,35.36,25109,938,0,0,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-03-09,noche,L1,ENV-500,R-P0011,521.52,28.18,19814,736,0,0,0,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-03-09,noche,L3,ENV-500,R-P0011,530.68,22.09,20709,585,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-10,mañana,L1,ENV-500,R-P0011,736.23,32.13,28026,831,0,0,0,0,turno normal
Envases del Pacífico S.A.S.,2026-03-10,mañana,L3,ENV-500,R-P0011,613.96,28.72,23913,763,0,0,0,0,turno normal
Envases del Pacífico S.A.S.,2026-03-10,tarde,L1,ENV-500,R-P0011,586.82,33.03,21963,851,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-10,tarde,L3,ENV-500,R-P0011,608.98,29.14,23691,774,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-10,noche,L1,ENV-500,R-P0011,375.27,18.58,14243,482,0,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-03-11,mañana,L1,ENV-1000,R-P0011,649.11,42.82,15929,731,1,1,79,0,producción estable
Envases del Pacífico S.A.S.,2026-03-11,mañana,L2,BAN-250,R-P0012,495.83,18.08,37386,920,1,0,17,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-11,tarde,L1,ENV-1000,R-P0012,526.31,16.32,13368,278,0,0,0,1,sin novedad
Envases del Pacífico S.A.S.,2026-03-11,tarde,L2,BAN-250,R-P0012,581.77,16.43,44131,834,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-11,tarde,L3,GAL-3800,R-P0012,405.78,17.69,4001,119,1,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-03-11,noche,L2,BAN-250,R-P0012,503.38,15.91,38103,809,0,0,0,0,la máquina salió fría y las primeras piezas llevaron material de más
Envases del Pacífico S.A.S.,2026-03-12,mañana,L1,ENV-1000,R-P0012,533.37,18.13,13539,310,0,1,76,0,producción estable
Envases del Pacífico S.A.S.,2026-03-12,mañana,L2,BAN-250,R-P0012,604.73,12.78,46228,649,0,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-03-12,mañana,L3,GAL-3800,R-P0012,765.38,23.82,7587,158,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-12,tarde,L1,ENV-1000,R-P0012,589.88,18.35,14932,312,0,0,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-03-12,noche,L1,ENV-1000,R-P0012,619.04,19.71,15801,338,0,0,79,0,producción estable
Envases del Pacífico S.A.S.,2026-03-12,noche,L3,GAL-3800,R-P0012,563.65,16.54,5622,110,0,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-03-13,mañana,L3,GAL-3800,R-P0012,658.17,20.59,6567,138,0,0,29,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-13,tarde,L1,ENV-1000,R-P0012,538.64,9.7,13874,165,0,0,67,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-03-13,tarde,L3,GAL-3800,R-P0012,654.88,17.69,6556,118,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-13,noche,L1,ENV-1000,R-P0012,544.93,14.56,13855,247,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-13,noche,L2,BAN-250,R-P0012,395.88,12.89,29928,655,0,0,70,0,producción estable
Envases del Pacífico S.A.S.,2026-03-14,mañana,L1,ENV-1000,R-P0012,721.82,23.93,18160,405,0,0,41,1,sin novedad
Envases del Pacífico S.A.S.,2026-03-14,tarde,L1,ENV-1000,R-P0012,416.65,13.68,10568,233,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-14,tarde,L3,GAL-3800,R-P0012,479.34,11.91,4821,80,0,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-03-14,noche,L1,ENV-1000,R-P0012,510.19,14.8,12932,251,0,0,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-03-14,noche,L2,TAP-38,R-P0013,636.8,29.47,193990,6119,1,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-03-14,noche,L3,GAL-3800,R-P0013,645.03,16.05,6431,107,0,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-03-15,mañana,L2,TAP-38,R-P0013,522.32,16.68,162041,3475,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-15,mañana,L3,GAL-3800,R-P0013,439.48,11.26,4402,75,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-15,tarde,L1,ENV-1000,R-P0013,570.12,14.36,14594,245,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-15,tarde,L2,TAP-38,R-P0013,560.57,18.23,173480,3790,0,1,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-15,noche,L1,ENV-1000,R-P0013,390.0,13.06,9871,222,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-15,noche,L2,TAP-38,R-P0013,662.36,19.51,205608,4055,0,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-03-15,noche,L3,GAL-3800,R-P0013,496.19,15.28,4955,102,0,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-03-16,mañana,L1,ENV-500,R-P0013,665.29,28.94,25204,745,1,0,25,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-16,mañana,L2,TAP-38,R-P0013,633.27,16.87,196457,3494,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-16,mañana,L3,GAL-3800,R-P0013,708.96,17.88,7087,119,0,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-03-16,tarde,L1,ENV-500,R-P0013,596.89,13.29,23137,342,0,0,30,0,"partimos en frío, las primeras bandejas se fueron a reproceso"
Envases del Pacífico S.A.S.,2026-03-16,tarde,L2,TAP-38,R-P0013,688.24,18.74,214485,3903,0,0,0,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-03-16,tarde,L3,GAL-3800,R-P0013,582.28,16.29,5810,109,0,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-03-16,noche,L2,TAP-38,R-P0013,562.45,15.84,175047,3298,0,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-03-16,noche,L3,GAL-3800,R-P0014,521.56,15.66,5196,105,0,0,25,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-03-17,mañana,L1,ENV-500,R-P0014,550.38,14.99,21302,388,0,0,87,0,turno normal
Envases del Pacífico S.A.S.,2026-03-17,tarde,L1,ENV-500,R-P0014,610.08,16.56,23623,429,0,0,81,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-17,tarde,L2,BAN-250,R-P0014,589.81,19.56,44716,997,1,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-03-17,noche,L1,ENV-500,R-P0014,582.92,16.73,22412,431,0,1,84,0,producción estable
Envases del Pacífico S.A.S.,2026-03-17,noche,L2,BAN-250,R-P0014,671.75,17.36,51200,883,0,0,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-03-17,noche,L3,ENV-500,R-P0014,371.94,13.21,14582,349,1,0,0,0,"molde tibio al inicio, se estabilizó pasada la media hora"
Envases del Pacífico S.A.S.,2026-03-18,mañana,L1,ENV-500,R-P0014,536.79,16.45,20672,425,0,0,0,1,sin novedad
Envases del Pacífico S.A.S.,2026-03-18,mañana,L3,ENV-500,R-P0014,495.46,16.25,19602,432,0,0,0,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-03-18,tarde,L2,BAN-250,R-P0014,592.55,12.41,45367,631,0,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-03-18,noche,L1,ENV-500,R-P0014,566.68,20.4,21676,526,0,1,0,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-03-18,noche,L3,ENV-500,R-P0014,532.15,15.54,21008,411,0,0,77,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-19,mañana,L1,ENV-500,R-P0014,640.7,17.76,24683,457,0,0,0,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-03-19,mañana,L3,ENV-500,R-P0014,532.08,14.68,21124,390,0,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-03-19,tarde,L1,ENV-500,R-P0014,640.28,18.9,24637,487,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-19,tarde,L2,BAN-250,R-P0014,645.04,18.51,49397,949,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-19,noche,L2,BAN-250,R-P0014,516.61,14.65,39440,748,0,0,0,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-03-19,noche,L3,ENV-500,R-P0014,579.3,17.63,22938,468,0,0,43,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-20,mañana,L1,ENV-500,R-P0015,426.69,12.86,16384,331,0,0,0,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-03-20,mañana,L2,BAN-250,R-P0015,663.23,22.07,50189,1123,0,0,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-03-20,mañana,L3,ENV-500,R-P0015,543.08,12.9,21705,343,0,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-03-20,tarde,L1,ENV-500,R-P0015,738.06,25.83,28100,662,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-20,tarde,L2,BAN-250,R-P0015,457.02,11.88,34780,603,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-20,tarde,L3,ENV-500,R-P0015,493.3,12.49,19654,332,0,0,0,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-03-20,noche,L2,BAN-250,R-P0016,367.81,11.44,27977,584,0,0,0,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-03-20,noche,L3,ENV-500,R-P0016,601.32,16.54,23977,441,0,0,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-03-21,mañana,L2,BAN-250,R-P0016,585.45,13.64,44539,691,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-21,noche,L2,BAN-250,R-P0016,610.78,17.08,46732,874,0,0,0,1,sin novedad
Envases del Pacífico S.A.S.,2026-03-21,noche,L3,ENV-500,R-P0016,627.46,14.76,24999,391,0,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-03-22,mañana,L2,TAP-38,R-P0016,544.79,22.55,166733,4680,1,0,0,0,"molde tibio al inicio, se estabilizó pasada la media hora"
Envases del Pacífico S.A.S.,2026-03-22,mañana,L3,ENV-500,R-P0016,583.4,18.3,22907,482,0,1,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-03-22,tarde,L3,ENV-500,R-P0016,551.58,14.88,21781,393,0,0,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-03-22,noche,L1,ENV-1000,R-P0016,589.87,18.9,14973,322,1,0,50,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-22,noche,L2,TAP-38,R-P0016,514.04,17.1,158759,3550,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-23,mañana,L2,TAP-38,R-P0016,601.68,17.52,186557,3637,0,0,13,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-23,mañana,L3,GAL-3800,R-P0016,609.15,22.67,6006,151,1,0,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-03-23,tarde,L1,ENV-1000,R-P0016,484.31,16.37,12242,278,0,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-03-23,noche,L2,TAP-38,R-P0016,463.53,11.28,144455,2343,0,0,48,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-24,mañana,L1,ENV-1000,R-P0016,531.85,16.78,13556,287,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-24,mañana,L3,GAL-3800,R-P0016,621.94,20.23,6188,135,0,0,0,0,turno normal
Envases del Pacífico S.A.S.,2026-03-24,tarde,L1,ENV-1000,R-P0016,445.61,10.46,11429,179,0,0,68,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-24,tarde,L2,TAP-38,R-P0017,677.95,21.42,209873,4451,0,0,0,0,turno normal
Envases del Pacífico S.A.S.,2026-03-24,noche,L1,ENV-1000,R-P0017,626.02,17.52,15965,299,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-24,noche,L2,TAP-38,R-P0017,581.19,19.77,179775,4114,0,0,45,1,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-03-24,noche,L3,GAL-3800,R-P0017,490.97,12.25,4934,82,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-25,mañana,L1,ENV-500,R-P0017,657.23,28.97,24696,740,1,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-25,mañana,L2,TAP-38,R-P0017,545.92,13.51,169901,2802,0,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-03-25,mañana,L3,GAL-3800,R-P0017,465.3,13.0,4652,87,0,0,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-03-25,tarde,L1,ENV-500,R-P0017,518.81,15.09,19927,388,0,0,92,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-25,tarde,L3,GAL-3800,R-P0017,609.85,23.87,6015,159,0,1,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-03-25,noche,L1,ENV-500,R-P0017,614.09,20.72,23370,530,0,0,93,1,sin novedad
Envases del Pacífico S.A.S.,2026-03-25,noche,L2,TAP-38,R-P0017,494.72,13.07,153605,2709,0,0,0,0,turno normal
Envases del Pacífico S.A.S.,2026-03-25,noche,L3,GAL-3800,R-P0017,474.94,13.39,4756,90,0,0,37,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-26,mañana,L2,TAP-38,R-P0017,624.33,15.07,194846,3133,0,0,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-03-26,tarde,L1,ENV-500,R-P0017,456.27,9.94,17726,257,0,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-03-26,tarde,L3,ENV-500,R-P0017,448.49,18.8,17530,498,1,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-03-26,noche,L1,ENV-500,R-P0017,662.29,21.28,25217,544,0,1,0,0,producción estable
Envases del Pacífico S.A.S.,2026-03-26,noche,L2,TAP-38,R-P0018,662.95,20.86,205933,4349,0,0,42,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-26,noche,L3,ENV-500,R-P0018,645.2,15.33,25764,408,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-27,mañana,L3,ENV-500,R-P0018,447.8,14.83,17655,393,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-27,tarde,L2,TAP-38,R-P0018,639.35,18.82,199184,3926,0,0,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-03-27,tarde,L3,ENV-500,R-P0018,609.24,15.65,24240,416,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-27,noche,L2,TAP-38,R-P0018,612.79,20.49,189374,4257,0,0,13,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-03-27,noche,L3,ENV-500,R-P0018,545.32,15.96,21663,425,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-28,mañana,L2,TAP-38,R-P0018,687.92,22.51,212500,4673,0,0,28,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-03-28,mañana,L3,ENV-500,R-P0018,588.46,16.21,23348,430,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-28,tarde,L1,ENV-500,R-P0018,516.7,13.69,19705,349,0,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-03-28,noche,L1,ENV-500,R-P0018,572.27,13.79,21938,352,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-28,noche,L2,TAP-38,R-P0018,693.25,16.84,216404,3503,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-28,noche,L3,ENV-500,R-P0018,506.19,18.07,19932,480,0,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-03-29,mañana,L1,ENV-500,R-P0018,492.2,15.51,18792,398,0,0,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-03-29,mañana,L2,TAP-38,R-P0018,493.35,16.23,152144,3363,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-29,mañana,L3,ENV-500,R-P0018,520.83,16.61,20606,441,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-29,tarde,L1,ENV-500,R-P0018,575.46,18.17,21931,465,0,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-03-29,tarde,L2,TAP-38,R-P0018,520.23,13.88,161631,2879,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-29,noche,L1,ENV-500,R-P0018,604.96,14.76,23309,379,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-29,noche,L3,ENV-500,R-P0018,569.72,13.2,22715,350,0,0,0,0,turno normal
Envases del Pacífico S.A.S.,2026-03-30,mañana,L1,ENV-500,R-P0018,590.89,13.24,22799,340,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-30,mañana,L2,BAN-250,R-P0018,570.92,24.13,42471,1218,1,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-30,mañana,L3,ENV-500,R-P0018,413.7,13.15,16456,351,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-30,tarde,L1,ENV-500,R-P0018,424.37,11.44,16209,292,0,1,0,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-03-30,tarde,L2,BAN-250,R-P0019,335.53,9.31,25412,472,0,0,0,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-03-30,noche,L1,ENV-500,R-P0019,501.81,14.95,19188,383,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-30,noche,L3,ENV-500,R-P0019,488.03,13.57,19376,360,0,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-03-31,mañana,L2,BAN-250,R-P0019,610.45,20.66,46049,1049,0,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-03-31,tarde,L1,ENV-500,R-P0019,483.67,16.41,18348,419,0,1,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-31,tarde,L2,BAN-250,R-P0019,281.87,5.35,21463,270,0,0,0,0,turno normal
Envases del Pacífico S.A.S.,2026-03-31,tarde,L3,ENV-500,R-P0019,537.43,12.99,21379,344,0,0,19,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-03-31,noche,L1,ENV-500,R-P0019,645.69,19.31,24662,494,0,0,77,0,sin novedad
Envases del Pacífico S.A.S.,2026-03-31,noche,L2,BAN-250,R-P0019,565.94,17.83,42822,906,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-04-01,mañana,L1,ENV-500,R-P0019,581.47,21.94,21968,560,0,1,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-04-01,mañana,L3,ENV-500,R-P0019,618.04,17.32,24604,461,0,0,75,0,producción estable
Envases del Pacífico S.A.S.,2026-04-01,tarde,L1,ENV-500,R-P0019,501.14,11.55,19280,296,0,0,0,0,la máquina salió fría y las primeras piezas llevaron material de más
Envases del Pacífico S.A.S.,2026-04-01,tarde,L2,BAN-250,R-P0019,427.38,15.32,32155,777,0,0,87,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-04-01,tarde,L3,ENV-500,R-P0019,646.54,12.62,25784,334,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-04-01,noche,L1,ENV-500,R-P0019,579.59,13.9,22235,355,0,0,13,0,"molde tibio al inicio, se estabilizó pasada la media hora"
Envases del Pacífico S.A.S.,2026-04-02,tarde,L2,BAN-250,R-P0019,444.59,12.18,33907,621,0,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-04-02,noche,L2,BAN-250,R-P0019,372.83,10.66,28363,542,0,0,0,0,turno normal
Envases del Pacífico S.A.S.,2026-04-03,mañana,L1,ENV-1000,R-P0019,622.83,27.2,15606,463,1,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-04-03,mañana,L2,BAN-250,R-P0019,640.42,16.8,48724,853,0,0,0,1,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-04-03,mañana,L3,GAL-3800,R-P0019,615.79,24.7,6097,166,1,0,0,1,sin novedad
Envases del Pacífico S.A.S.,2026-04-03,tarde,L1,ENV-1000,R-P0019,681.19,19.33,17396,330,0,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-04-03,tarde,L2,BAN-250,R-P0019,476.6,14.73,35995,746,0,0,35,0,turno normal
Envases del Pacífico S.A.S.,2026-04-03,noche,L2,BAN-250,R-P0019,498.66,14.18,38040,724,0,0,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-04-03,noche,L3,GAL-3800,R-P0019,532.51,15.19,5324,102,0,0,0,0,turno normal
Envases del Pacífico S.A.S.,2026-04-04,mañana,L1,ENV-1000,R-P0019,482.27,12.56,12319,214,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-04-04,mañana,L2,TAP-38,R-P0019,659.43,23.24,203849,4841,1,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-04-04,mañana,L3,GAL-3800,R-P0020,569.13,13.05,5709,87,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-04-04,tarde,L1,ENV-1000,R-P0020,452.48,12.12,11521,206,0,0,0,0,"arranque con el molde frío, mucha rebaba en las primeras cajas"
Envases del Pacífico S.A.S.,2026-04-04,tarde,L2,TAP-38,R-P0020,283.15,9.0,87729,1872,0,0,42,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-04-04,tarde,L3,GAL-3800,R-P0020,539.44,20.23,5342,135,0,1,0,1,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-04-04,noche,L1,ENV-1000,R-P0020,560.17,20.81,14088,353,0,0,46,1,sin novedad
Envases del Pacífico S.A.S.,2026-04-04,noche,L2,TAP-38,R-P0020,493.08,13.93,153390,2900,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-04-05,mañana,L1,ENV-1000,R-P0021,552.79,15.45,13993,262,0,0,0,0,"cambio de color programado, sin contratiempos"
Envases del Pacífico S.A.S.,2026-04-05,mañana,L2,TAP-38,R-P0021,680.69,23.38,209896,4852,0,0,58,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-04-05,tarde,L1,ENV-1000,R-P0021,518.13,16.73,13059,283,0,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-04-05,noche,L1,ENV-1000,R-P0021,520.06,12.55,13313,214,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-04-05,noche,L2,TAP-38,R-P0021,701.3,19.07,218657,3972,0,0,28,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-04-05,noche,L3,GAL-3800,R-P0021,649.79,25.47,6411,170,0,1,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-04-06,mañana,L1,ENV-500,R-P0021,470.12,15.44,17903,395,1,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-04-06,mañana,L2,TAP-38,R-P0021,620.83,20.03,192481,4172,0,0,0,1,sin novedad
Envases del Pacífico S.A.S.,2026-04-06,mañana,L3,ENV-500,R-P0021,403.11,15.63,15814,414,1,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-04-06,tarde,L1,ENV-500,R-P0021,560.8,13.66,21420,348,0,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-04-06,tarde,L2,TAP-38,R-P0021,478.63,13.57,148788,2823,0,0,14,0,"el equipo no había alcanzado temperatura al iniciar, sobró material"
Envases del Pacífico S.A.S.,2026-04-06,noche,L2,TAP-38,R-P0021,495.38,15.01,153912,3125,0,1,0,0,turno normal
Envases del Pacífico S.A.S.,2026-04-07,mañana,L1,ENV-500,R-P0021,516.94,16.91,19511,429,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-04-07,mañana,L2,TAP-38,R-P0021,495.7,15.25,153717,3171,0,0,15,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-04-07,mañana,L3,ENV-500,R-P0021,542.4,14.16,21607,376,0,0,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-04-07,tarde,L1,ENV-500,R-P0021,592.71,14.88,22555,378,0,0,0,0,producción estable
Envases del Pacífico S.A.S.,2026-04-07,tarde,L2,TAP-38,R-P0021,539.97,17.94,167371,3739,0,0,50,0,sin novedad
Envases del Pacífico S.A.S.,2026-04-07,tarde,L3,ENV-500,R-P0021,634.05,16.65,25262,443,0,0,0,0,"operación normal, se repuso resina a mitad de turno"
Envases del Pacífico S.A.S.,2026-04-07,noche,L1,ENV-500,R-P0022,702.48,29.11,26329,740,0,1,0,0,turno normal
Envases del Pacífico S.A.S.,2026-04-07,noche,L2,TAP-38,R-P0022,545.16,19.13,168256,3977,0,0,35,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-04-07,noche,L3,ENV-500,R-P0022,623.54,19.87,24693,528,0,0,0,0,se ajustó dosificación a media jornada
Envases del Pacífico S.A.S.,2026-04-08,mañana,L1,ENV-500,R-P0022,696.03,27.57,26200,702,0,1,0,0,sin novedad
Envases del Pacífico S.A.S.,2026-04-08,mañana,L2,TAP-38,R-P0022,627.69,23.2,192961,4814,0,1,71,0,producción estable
Envases del Pacífico S.A.S.,2026-04-08,mañana,L3,ENV-500,R-P0022,432.66,13.83,17032,366,0,0,0,1,producción estable
