planta,fecha,hora_inicio,turno,linea,maquina,duracion_min,codigo_falla,categoria_falla,comentario_operario
Envases del Pacífico S.A.S.,2026-03-25,15:16,tarde,L1,SOP-01,36.9,CAL-01,Calidad,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-03-25,15:32,tarde,L3,EMP-07,2.3,MEC-02,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-03-25,18:49,tarde,L1,SOP-02,4.5,MEC-07,Mecánica,"rodamiento haciendo ruido, hubo que parar"
Envases del Pacífico S.A.S.,2026-03-25,22:53,noche,L3,EMP-07,52.9,,,sensor de puerta sin señal
Envases del Pacífico S.A.S.,2026-03-26,01:21,noche,L3,EMP-07,43.0,OPE-08,Operativa,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-03-26,04:55,noche,L2,INY-04,22.8,MEC-05,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-03-26,05:18,noche,L2,INY-03,3.4,MEC-06,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-03-26,13:26,mañana,L2,INY-03,3.8,OPE-01,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-03-26,16:28,tarde,L1,SOP-01,27.5,OPE-07,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-03-26,22:20,noche,L1,SOP-02,2.6,,,el lote venía con partículas negras
Envases del Pacífico S.A.S.,2026-03-26,23:16,noche,L1,SOP-01,3.3,,,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-03-27,01:43,noche,L2,INY-04,2.1,,,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-03-27,11:32,mañana,L3,EMP-06,4.0,,,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-03-27,22:01,noche,L2,INY-03,24.6,ELE-06,Eléctrica,se quemó una resistencia de zona
Envases del Pacífico S.A.S.,2026-03-27,22:09,noche,L3,EMP-06,53.9,OPE-01,Operativa,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-03-27,23:50,noche,L2,INY-05,4.7,,,se quemó una resistencia de zona
Envases del Pacífico S.A.S.,2026-03-28,00:01,noche,L3,EMP-07,38.2,MEC-02,Mecánica,"rodamiento haciendo ruido, hubo que parar"
Envases del Pacífico S.A.S.,2026-03-28,00:29,noche,L2,INY-03,21.2,MEC-04,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-03-28,01:36,noche,L3,EMP-06,2.6,MEC-05,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-03-28,01:52,noche,L2,INY-05,4.5,ELE-02,Eléctrica,se quemó una resistencia de zona
Envases del Pacífico S.A.S.,2026-03-28,03:04,noche,L2,INY-05,1.1,CAL-08,Calidad,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-03-28,03:15,noche,L3,EMP-06,3.3,OPE-05,Operativa,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-03-28,03:25,noche,L3,EMP-06,3.7,OPE-06,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-03-28,05:28,noche,L2,INY-04,4.0,ELE-08,Eléctrica,sensor de puerta sin señal
Envases del Pacífico S.A.S.,2026-03-28,05:32,noche,L3,EMP-07,2.5,,,saltó el breaker del tablero
Envases del Pacífico S.A.S.,2026-03-28,05:51,noche,L2,INY-04,69.6,ELE-04,Eléctrica,sensor de puerta sin señal
Envases del Pacífico S.A.S.,2026-03-28,07:38,mañana,L2,INY-04,28.9,OPE-01,Operativa,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-03-28,10:20,mañana,L2,INY-04,18.2,OPE-07,Operativa,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-03-28,13:02,mañana,L2,INY-05,2.4,OPE-03,Operativa,se atascó la banda de salida con cajas
Envases del Pacífico S.A.S.,2026-03-28,21:01,tarde,L1,SOP-01,14.8,MPR-07,Materia prima,el lote venía con partículas negras
Envases del Pacífico S.A.S.,2026-03-28,22:11,noche,L2,INY-03,28.4,,,la máquina se detuvo sola
Envases del Pacífico S.A.S.,2026-03-28,23:12,noche,L1,SOP-01,2.5,OPE-08,Operativa,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-03-28,23:32,noche,L3,EMP-06,23.1,OPE-07,Operativa,se atascó la banda de salida con cajas
Envases del Pacífico S.A.S.,2026-03-29,09:10,mañana,L2,INY-03,1.3,MEC-07,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-03-29,11:33,mañana,L1,SOP-02,15.5,OPE-03,Operativa,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-03-29,14:09,tarde,L1,SOP-01,3.6,MPR-08,Materia prima,"resina con humedad aparente, se purgó"
Envases del Pacífico S.A.S.,2026-03-29,14:47,tarde,L1,SOP-01,36.2,OPE-06,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-03-29,15:47,tarde,L1,SOP-02,3.4,MEC-06,Mecánica,"rodamiento haciendo ruido, hubo que parar"
Envases del Pacífico S.A.S.,2026-03-29,19:53,tarde,L2,INY-04,32.1,OPE-07,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-03-29,19:56,tarde,L2,INY-04,5.0,MPR-04,Materia prima,"resina con humedad aparente, se purgó"
Envases del Pacífico S.A.S.,2026-03-30,08:39,mañana,L1,SOP-01,2.2,OPE-02,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-03-30,10:32,mañana,L1,SOP-01,22.4,OPE-08,Operativa,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-03-30,10:47,mañana,L1,SOP-02,3.0,OPE-03,Operativa,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-03-30,10:55,mañana,L1,SOP-02,3.2,CAL-08,Calidad,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-03-30,12:52,mañana,L3,EMP-06,15.6,MPR-06,Materia prima,el lote venía con partículas negras
Envases del Pacífico S.A.S.,2026-03-30,17:54,tarde,L1,SOP-02,4.4,CAL-02,Calidad,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-03-30,22:42,noche,L1,SOP-02,44.1,MEC-03,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-03-31,03:24,noche,L3,EMP-07,8.4,CAL-03,Calidad,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-03-31,12:08,mañana,L2,INY-05,42.3,MPR-05,Materia prima,el lote venía con partículas negras
Envases del Pacífico S.A.S.,2026-03-31,12:15,mañana,L2,INY-05,14.3,,,paro sin causa aparente
Envases del Pacífico S.A.S.,2026-03-31,15:23,tarde,L2,INY-03,18.7,OPE-06,Operativa,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-03-31,18:18,tarde,L2,INY-04,1.5,CAL-03,Calidad,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-03-31,19:54,tarde,L1,SOP-01,23.0,OPE-08,Operativa,se atascó la banda de salida con cajas
Envases del Pacífico S.A.S.,2026-04-01,00:16,noche,L2,INY-05,23.0,OPE-04,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-04-01,02:02,noche,L2,INY-05,2.4,OPE-05,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-04-01,02:07,noche,L1,SOP-01,1.7,CAL-07,Calidad,"rebaba persistente, revisión de molde"
Envases del Pacífico S.A.S.,2026-04-01,03:24,noche,L2,INY-03,2.1,,,se atascó la banda de salida con cajas
Envases del Pacífico S.A.S.,2026-04-01,07:36,mañana,L3,EMP-06,30.5,MEC-02,Mecánica,"rodamiento haciendo ruido, hubo que parar"
Envases del Pacífico S.A.S.,2026-04-01,09:21,mañana,L3,EMP-06,14.7,MEC-05,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-04-01,12:22,mañana,L3,EMP-07,49.5,MEC-05,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-04-01,21:09,tarde,L1,SOP-01,4.7,MEC-05,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-04-02,02:21,noche,L1,SOP-01,7.9,OPE-02,Operativa,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-04-02,04:02,noche,L1,SOP-01,24.1,OPE-07,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-04-03,00:17,noche,L2,INY-03,8.8,OPE-01,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-04-03,06:41,mañana,L3,EMP-07,8.9,MPR-05,Materia prima,el lote venía con partículas negras
Envases del Pacífico S.A.S.,2026-04-03,07:48,mañana,L3,EMP-07,17.4,MEC-02,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-04-03,10:27,mañana,L2,INY-05,79.9,MEC-01,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-04-03,10:27,mañana,L3,EMP-07,44.6,MEC-05,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-04-03,17:04,tarde,L1,SOP-01,4.9,,,la máquina se detuvo sola
Envases del Pacífico S.A.S.,2026-04-03,20:42,tarde,L1,SOP-01,10.7,,,"rebaba persistente, revisión de molde"
Envases del Pacífico S.A.S.,2026-04-03,22:55,noche,L2,INY-04,42.4,CAL-05,Calidad,"rebaba persistente, revisión de molde"
Envases del Pacífico S.A.S.,2026-04-03,23:34,noche,L2,INY-04,3.3,,,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-04-03,23:53,noche,L2,INY-05,39.8,MPR-04,Materia prima,pellet fuera de especificación
Envases del Pacífico S.A.S.,2026-04-04,00:15,noche,L3,EMP-07,8.9,,,saltó el breaker del tablero
Envases del Pacífico S.A.S.,2026-04-04,00:35,noche,L2,INY-04,2.6,OPE-02,Operativa,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-04-04,01:07,noche,L3,EMP-06,30.4,MEC-07,Mecánica,"rodamiento haciendo ruido, hubo que parar"
Envases del Pacífico S.A.S.,2026-04-04,01:23,noche,L3,EMP-06,14.5,MEC-03,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-04-04,02:16,noche,L2,INY-03,5.0,ELE-03,Eléctrica,saltó el breaker del tablero
Envases del Pacífico S.A.S.,2026-04-04,02:32,noche,L2,INY-05,30.0,,,"rebaba persistente, revisión de molde"
Envases del Pacífico S.A.S.,2026-04-04,03:31,noche,L3,EMP-06,5.9,OPE-04,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-04-04,03:50,noche,L2,INY-05,4.8,MEC-06,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-04-04,03:55,noche,L2,INY-05,15.0,ELE-01,Eléctrica,sensor de puerta sin señal
Envases del Pacífico S.A.S.,2026-04-04,03:57,noche,L3,EMP-07,17.0,,,no se pudo determinar el origen
Envases del Pacífico S.A.S.,2026-04-04,04:40,noche,L2,INY-05,5.0,MEC-02,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-04-04,04:59,noche,L2,INY-03,4.0,OPE-01,Operativa,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-04-04,05:14,noche,L3,EMP-07,61.4,,,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-04-04,05:47,noche,L2,INY-04,18.6,OPE-02,Operativa,se atascó la banda de salida con cajas
Envases del Pacífico S.A.S.,2026-04-04,10:13,mañana,L1,SOP-02,2.0,MEC-04,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-04-04,10:36,mañana,L3,EMP-07,12.9,,,sensor de puerta sin señal
Envases del Pacífico S.A.S.,2026-04-04,11:25,mañana,L3,EMP-06,43.4,,,sensor de puerta sin señal
Envases del Pacífico S.A.S.,2026-04-04,14:15,tarde,L1,SOP-01,3.3,ELE-01,Eléctrica,sensor de puerta sin señal
Envases del Pacífico S.A.S.,2026-04-04,17:22,tarde,L1,SOP-02,3.2,ELE-04,Eléctrica,saltó el breaker del tablero
Envases del Pacífico S.A.S.,2026-04-04,17:52,tarde,L1,SOP-01,11.7,OPE-04,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-04-04,18:39,tarde,L2,INY-05,5.1,MEC-03,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-04-04,21:10,tarde,L3,EMP-07,73.1,CAL-05,Calidad,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-04-05,01:35,noche,L2,INY-04,3.5,OPE-06,Operativa,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-04-05,04:45,noche,L1,SOP-01,3.5,ELE-08,Eléctrica,saltó el breaker del tablero
Envases del Pacífico S.A.S.,2026-04-05,06:02,mañana,L1,SOP-02,15.9,MEC-01,Mecánica,"rodamiento haciendo ruido, hubo que parar"
Envases del Pacífico S.A.S.,2026-04-05,10:41,mañana,L1,SOP-01,87.0,ELE-01,Eléctrica,saltó el breaker del tablero
Envases del Pacífico S.A.S.,2026-04-05,10:58,mañana,L2,INY-04,22.0,OPE-01,Operativa,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-04-05,11:50,mañana,L2,INY-03,11.2,,,la máquina se detuvo sola
Envases del Pacífico S.A.S.,2026-04-05,18:58,tarde,L1,SOP-02,26.0,,,se detuvo por muestra no conforme
Envases del Pacífico S.A.S.,2026-04-05,19:27,tarde,L1,SOP-01,47.5,OPE-07,Operativa,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-04-05,20:06,tarde,L1,SOP-01,28.7,OPE-03,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-04-05,22:01,noche,L1,SOP-02,74.8,CAL-06,Calidad,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-04-06,00:56,noche,L3,EMP-07,52.6,,,no se pudo determinar el origen
Envases del Pacífico S.A.S.,2026-04-06,01:21,noche,L1,SOP-02,5.0,OPE-05,Operativa,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-04-06,02:00,noche,L3,EMP-06,27.3,,,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-04-06,02:15,noche,L1,SOP-02,39.5,OPE-06,Operativa,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-04-06,03:44,noche,L1,SOP-01,10.1,OPE-02,Operativa,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-04-06,05:39,noche,L1,SOP-01,27.3,MPR-07,Materia prima,pellet fuera de especificación
Envases del Pacífico S.A.S.,2026-04-06,08:18,mañana,L2,INY-05,14.4,,,no se pudo determinar el origen
Envases del Pacífico S.A.S.,2026-04-06,09:13,mañana,L2,INY-04,3.3,MPR-03,Materia prima,"resina con humedad aparente, se purgó"
Envases del Pacífico S.A.S.,2026-04-06,11:51,mañana,L1,SOP-02,11.2,OPE-06,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-04-06,14:58,tarde,L1,SOP-02,2.0,MEC-03,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-04-06,23:52,noche,L2,INY-03,4.8,CAL-03,Calidad,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-04-07,06:08,mañana,L1,SOP-01,79.7,,,se atascó la banda de salida con cajas
Envases del Pacífico S.A.S.,2026-04-07,14:09,tarde,L2,INY-04,14.9,OPE-08,Operativa,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-04-07,15:16,tarde,L3,EMP-07,100.5,MEC-07,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-04-07,18:33,tarde,L1,SOP-02,1.8,CAL-08,Calidad,se detuvo por muestra no conforme
Envases del Pacífico S.A.S.,2026-04-07,19:07,tarde,L3,EMP-07,3.7,MEC-02,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-04-07,23:58,noche,L3,EMP-06,1.9,MPR-04,Materia prima,pellet fuera de especificación
Envases del Pacífico S.A.S.,2026-04-08,08:28,mañana,L3,EMP-07,15.6,OPE-06,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-04-08,13:34,mañana,L1,SOP-01,123.6,,,falla del variador
Envases del Pacífico S.A.S.,2026-04-08,13:45,mañana,L2,INY-04,1.9,,,se quemó una resistencia de zona
Envases del Pacífico S.A.S.,2026-04-08,14:18,tarde,L2,INY-03,2.7,,,el lote venía con partículas negras
Envases del Pacífico S.A.S.,2026-04-08,14:32,tarde,L1,SOP-02,16.7,OPE-03,Operativa,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-04-08,22:59,noche,L1,SOP-02,17.6,ELE-05,Eléctrica,saltó el breaker del tablero
Envases del Pacífico S.A.S.,2026-04-08,23:55,noche,L1,SOP-01,18.5,OPE-04,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-04-09,06:00,mañana,L2,INY-04,2.3,,,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-04-09,06:57,mañana,L2,INY-03,1.6,,,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-04-09,08:31,mañana,L3,EMP-07,28.4,ELE-06,Eléctrica,saltó el breaker del tablero
Envases del Pacífico S.A.S.,2026-04-09,09:52,mañana,L1,SOP-01,22.9,,,se atascó la banda de salida con cajas
Envases del Pacífico S.A.S.,2026-04-09,10:10,mañana,L1,SOP-02,5.0,MEC-04,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-04-09,10:34,mañana,L1,SOP-02,42.0,,,"resina con humedad aparente, se purgó"
Envases del Pacífico S.A.S.,2026-04-09,10:51,mañana,L3,EMP-07,5.0,OPE-01,Operativa,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-04-09,12:14,mañana,L3,EMP-07,25.1,OPE-03,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-04-09,15:49,tarde,L2,INY-04,34.0,MEC-07,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-04-09,23:32,noche,L1,SOP-01,43.7,,,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-04-09,23:44,noche,L3,EMP-06,1.2,OPE-05,Operativa,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-04-10,00:41,noche,L1,SOP-02,37.3,ELE-02,Eléctrica,se quemó una resistencia de zona
Envases del Pacífico S.A.S.,2026-04-10,04:37,noche,L1,SOP-02,27.4,MEC-08,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-04-10,04:47,noche,L1,SOP-02,35.0,ELE-06,Eléctrica,se quemó una resistencia de zona
Envases del Pacífico S.A.S.,2026-04-10,06:26,mañana,L2,INY-04,17.8,MEC-04,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-04-10,09:56,mañana,L2,INY-05,16.4,MPR-03,Materia prima,"resina con humedad aparente, se purgó"
Envases del Pacífico S.A.S.,2026-04-10,12:48,mañana,L1,SOP-01,4.6,CAL-04,Calidad,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-04-10,13:07,mañana,L3,EMP-07,4.5,MEC-06,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-04-10,15:08,tarde,L2,INY-04,4.3,CAL-01,Calidad,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-04-10,16:59,tarde,L1,SOP-01,15.5,ELE-04,Eléctrica,saltó el breaker del tablero
Envases del Pacífico S.A.S.,2026-04-10,23:07,noche,L1,SOP-01,24.9,MEC-07,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-04-10,23:12,noche,L2,INY-03,4.1,,,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-04-10,23:56,noche,L2,INY-03,2.9,CAL-05,Calidad,"rebaba persistente, revisión de molde"
Envases del Pacífico S.A.S.,2026-04-11,00:25,noche,L2,INY-05,91.1,MEC-08,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-04-11,00:41,noche,L1,SOP-02,12.0,OPE-02,Operativa,se atascó la banda de salida con cajas
Envases del Pacífico S.A.S.,2026-04-11,00:41,noche,L3,EMP-06,25.8,OPE-01,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-04-11,00:47,noche,L1,SOP-01,19.0,OPE-06,Operativa,"atasco en la tolva, se destapó a mano"
Envases del Pacífico S.A.S.,2026-04-11,01:02,noche,L1,SOP-02,19.4,OPE-02,Operativa,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-04-11,01:03,noche,L3,EMP-07,49.6,CAL-04,Calidad,se detuvo por muestra no conforme
Envases del Pacífico S.A.S.,2026-04-11,01:15,noche,L3,EMP-06,3.2,,,paro sin causa aparente
Envases del Pacífico S.A.S.,2026-04-11,01:33,noche,L3,EMP-07,3.8,,,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-04-11,02:19,noche,L3,EMP-07,3.5,,,no se pudo determinar el origen
Envases del Pacífico S.A.S.,2026-04-11,02:41,noche,L2,INY-04,6.9,OPE-03,Operativa,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-04-11,03:08,noche,L1,SOP-01,1.9,MPR-03,Materia prima,el lote venía con partículas negras
Envases del Pacífico S.A.S.,2026-04-11,03:36,noche,L1,SOP-01,4.5,,,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-04-11,04:49,noche,L2,INY-05,44.0,CAL-01,Calidad,"rebaba persistente, revisión de molde"
Envases del Pacífico S.A.S.,2026-04-11,05:21,noche,L1,SOP-01,34.3,,,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-04-11,05:26,noche,L2,INY-05,1.3,OPE-01,Operativa,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-04-11,08:55,mañana,L3,EMP-06,6.1,ELE-07,Eléctrica,falla del variador
Envases del Pacífico S.A.S.,2026-04-11,09:08,mañana,L2,INY-04,3.9,,,paro sin causa aparente
Envases del Pacífico S.A.S.,2026-04-11,10:21,mañana,L2,INY-05,13.2,MEC-08,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-04-11,13:41,mañana,L2,INY-03,44.0,OPE-03,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-04-11,14:51,tarde,L3,EMP-07,25.8,ELE-07,Eléctrica,se quemó una resistencia de zona
Envases del Pacífico S.A.S.,2026-04-11,16:53,tarde,L3,EMP-07,53.9,MPR-06,Materia prima,el lote venía con partículas negras
Envases del Pacífico S.A.S.,2026-04-11,19:44,tarde,L3,EMP-07,112.5,OPE-02,Operativa,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-04-11,21:18,tarde,L1,SOP-01,2.5,,,pellet fuera de especificación
Envases del Pacífico S.A.S.,2026-04-11,23:28,noche,L3,EMP-06,92.3,CAL-07,Calidad,se detuvo por muestra no conforme
Envases del Pacífico S.A.S.,2026-04-12,03:07,noche,L3,EMP-07,14.2,OPE-08,Operativa,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-04-12,06:56,mañana,L3,EMP-07,88.9,,,paro sin causa aparente
Envases del Pacífico S.A.S.,2026-04-12,07:21,mañana,L3,EMP-06,6.3,OPE-04,Operativa,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-04-12,07:22,mañana,L2,INY-04,3.0,OPE-03,Operativa,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-04-12,09:01,mañana,L3,EMP-07,1.1,CAL-08,Calidad,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-04-12,15:48,tarde,L1,SOP-01,27.1,,,"rebaba persistente, revisión de molde"
Envases del Pacífico S.A.S.,2026-04-12,15:58,tarde,L1,SOP-02,5.2,,,saltó el breaker del tablero
Envases del Pacífico S.A.S.,2026-04-12,17:06,tarde,L3,EMP-06,26.8,CAL-05,Calidad,se detuvo por muestra no conforme
Envases del Pacífico S.A.S.,2026-04-12,17:42,tarde,L1,SOP-01,2.8,MEC-05,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-04-12,21:50,tarde,L3,EMP-06,4.6,OPE-06,Operativa,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-04-12,22:20,noche,L1,SOP-01,107.5,ELE-08,Eléctrica,sensor de puerta sin señal
Envases del Pacífico S.A.S.,2026-04-12,23:56,noche,L1,SOP-02,150.5,MPR-07,Materia prima,"resina con humedad aparente, se purgó"
Envases del Pacífico S.A.S.,2026-04-13,14:10,tarde,L1,SOP-01,2.3,OPE-03,Operativa,tolva vacía por demora del montacargas
Envases del Pacífico S.A.S.,2026-04-13,14:22,tarde,L2,INY-03,24.1,MEC-05,Mecánica,desalineación del brazo extractor
Envases del Pacífico S.A.S.,2026-04-13,16:17,tarde,L3,EMP-07,136.8,MEC-02,Mecánica,se rompió la banda de arrastre
Envases del Pacífico S.A.S.,2026-04-13,18:23,tarde,L1,SOP-02,35.7,OPE-05,Operativa,cambio de bobina más lento de lo normal
Envases del Pacífico S.A.S.,2026-04-13,20:08,tarde,L1,SOP-02,3.4,OPE-07,Operativa,se atascó la banda de salida con cajas
Envases del Pacífico S.A.S.,2026-04-13,23:00,noche,L2,INY-03,4.5,,,"piezas fuera de peso, se paró para ajustar"
Envases del Pacífico S.A.S.,2026-04-13,23:00,noche,L3,EMP-06,2.3,,,falla del variador
Envases del Pacífico S.A.S.,2026-04-13,23:03,noche,L3,EMP-07,1.0,ELE-05,Eléctrica,se quemó una resistencia de zona
Envases del Pacífico S.A.S.,2026-04-14,02:00,noche,L3,EMP-07,3.4,,,la tolva quedó mal cerrada y hubo que reponer
Envases del Pacífico S.A.S.,2026-04-14,05:42,noche,L1,SOP-01,3.6,MEC-03,Mecánica,fuga hidráulica en la unidad de cierre
Envases del Pacífico S.A.S.,2026-04-14,09:09,mañana,L3,EMP-07,5.0,CAL-03,Calidad,"rebaba persistente, revisión de molde"
Envases del Pacífico S.A.S.,2026-04-14,10:33,mañana,L3,EMP-07,155.6,CAL-06,Calidad,"rebaba persistente, revisión de molde"
Envases del Pacífico S.A.S.,2026-04-14,10:52,mañana,L3,EMP-06,56.7,ELE-01,Eléctrica,falla del variador
Envases del Pacífico S.A.S.,2026-04-14,15:10,tarde,L1,SOP-02,2.4,CAL-03,Calidad,se detuvo por muestra no conforme
Envases del Pacífico S.A.S.,2026-04-14,15:12,tarde,L3,EMP-06,47.4,,,no se pudo determinar el origen
Envases del Pacífico S.A.S.,2026-04-14,16:46,tarde,L3,EMP-07,11.9,OPE-05,Operativa,cambio de bobina más lento de lo normal
